,COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,PAX,FARE
COUPON,1.0,0.020223069218997053,-0.34725206776119333,-0.08840264806583094,0.04688919549400866,-0.10776335874489452,0.0949699416210553,-0.3369735766299064,0.496536960131524
NEW,0.020223069218997053,1.0,0.05414684615426458,0.026596725695232876,0.11337664223653339,-0.016672119755414164,0.05856818161622885,0.010495274914363618,0.09172968729868447
HI,-0.34725206776119333,0.05414684615426458,1.0,-0.02738221205253871,0.08239259504921416,-0.172495405730632,-0.062456004213228306,-0.16896077820919422,0.025194916321708793
S_INCOME,-0.08840264806583094,0.026596725695232876,-0.02738221205253871,1.0,-0.13886419620339707,0.5171871834245723,-0.2722802699024232,0.13819709998719296,0.2091348529182019
E_INCOME,0.04688919549400866,0.11337664223653339,0.08239259504921416,-0.13886419620339707,1.0,-0.14405856786490231,0.4584180586025294,0.2599610547750024,0.32609228753446484
S_POP,-0.10776335874489452,-0.016672119755414164,-0.172495405730632,0.5171871834245723,-0.14405856786490231,1.0,-0.2801428296755621,0.2846105600986717,0.14509707907385516
E_POP,0.0949699416210553,0.05856818161622885,-0.062456004213228306,-0.2722802699024232,0.4584180586025294,-0.2801428296755621,1.0,0.31469750214382186,0.28504298509685927
PAX,-0.3369735766299064,0.010495274914363618,-0.16896077820919422,0.13819709998719296,0.2599610547750024,0.2846105600986717,0.31469750214382186,1.0,-0.09070540931076154
FARE,0.496536960131524,0.09172968729868447,0.025194916321708793,0.2091348529182019,0.32609228753446484,0.14509707907385516,0.28504298509685927,-0.09070540931076154,1.0
